MacAddress,IpPrivate,IpPublic1,IpPublic2,Value1,Value2,Value3,Value4,Status,Location,DateTime,Description
3c75.4aea.bd76,192.168.14.126,100.65.106.23,001e.c21e.70e4,39.1,47.4,+7.9,222,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
001a.adab.f0ee,192.168.14.135,100.65.117.117,a42b.b0ac.71f5,36.9,50.0,+0.4,222,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
001b.ddb6.edb2,192.168.12.206,100.65.102.6,c83a.3542.b280,37.8,41.9,+6.1,221,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
001b.ddcc.6d2c,192.168.34.46,100.65.109.159,c83a.3542.ffc8,36.2,40.9,-7.0,226,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
0021.43c7.c678,,100.65.118.105,c83a.3520.e908,37.7,29.8,+9.5,211,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
0021.43e5.5136,192.168.29.216,100.65.106.96,f4f2.6d5b.4cc5,37.3,39.9,+0.9,206,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
0023.edd3.45fe,192.168.23.120,100.65.97.35,c83a.3504.ab08,36.4,33.9,-5.8,216,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
0023.ede3.e890,192.168.18.103,100.65.100.100,10fe.ed8f.bc09,37.6,32.9,-1.4,222,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
145b.d133.f6f6,192.168.37.227,100.65.97.40,c83a.355e.2918,35.5,35.7,-7.3,221,online,1/0-1D0C0-U5C0L0,4/13/2016 9:00:04 PM,
001b.ddcd.8450,192.168.20.101,,,35.2,50.0,-8.9,234,online,1/0-1D0C0-U6C0L0,4/13/2016 9:00:04 PM,
001b.ddba.e832,192.168.28.244,100.65.101.125,f4f2.6d5b.32e9,37.2,55.2,-2.9,222,online,1/0-1D0C0-U6C0L0,4/13/2016 9:00:04 PM,
0014.e867.f442,192.168.18.126,100.65.107.250,c83a.350b.b600,37.4,41.9,+0.5,227,online,1/0-1D0C0-U6C0L0,4/13/2016 9:00:04 PM,
0019.5e33.fc1e,192.168.20.45,100.65.104.14,c83a.3506.4d00,35.3,40.9,-10.8,222,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
001a.ad96.480a,192.168.23.122,100.65.107.209,c83a.3539.3758,38.4,40.9,+3.3,221,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
000e.092e.e9c9,192.168.22.16,100.65.110.159,f8d1.117e.b077,36.3,51.8,+1.2,221,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
001a.ada6.29ca,192.168.24.239,100.65.102.150,c83a.355c.d158,37.5,54.0,+1.5,217,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
0023.ee08.b37a,192.168.14.204,100.65.98.210,c83a.3542.30d8,38.8,20.8,+11.7,225,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
0023.edd3.b04e,192.168.25.153,100.65.100.71,c83a.3529.a548,37.6,46.0,+2.1,223,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
0023.ede1.7de8,192.168.13.52,100.65.104.221,c83a.352f.ff80,37.8,45.0,+12.2,218,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
0023.a32a.c3fc,192.168.26.231,100.65.103.89,c83a.353d.b540,36.2,49.0,-6.0,223,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
0021.43eb.5f82,192.168.32.123,101.99.37.227,c8b3.7331.4238,35.8,52.0,-2.9,204,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
0023.a327.3ace,192.168.17.42,100.65.106.30,f4f2.6de0.36bf,35.7,30.8,+2.2,221,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
0023.a327.a9b6,192.168.13.29,100.65.107.85,30b5.c22d.1a87,37.6,39.9,-3.1,223,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
0021.43e3.0488,192.168.30.184,100.65.103.113,c83a.3533.ac98,34.3,31.9,+1.0,217,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
74f6.1265.b14b,192.168.24.235,100.65.103.147,c83a.351a.c0e8,39.1,40.9,-4.0,225,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
a47a.a46f.b47d,192.168.34.203,100.65.104.137,a0f3.c173.7233,37.8,43.4,-2.7,225,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
a47a.a46f.b54c,192.168.37.4,100.65.107.145,c04a.00d0.00b3,36.0,43.2,-10.5,225,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
386b.bb15.cb1b,192.168.35.122,100.65.102.88,30b5.c22d.4e05,36.6,40.4,-7.5,220,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
e483.9977.6764,192.168.18.16,100.65.108.238,c83a.351a.71a8,32.4,33.7,-12.2,222,online,1/0-1D1C0-U5C0L0,4/13/2016 9:00:04 PM,
a47a.a46c.e630,192.168.14.63,,,37.5,55.2,-7.7,229,online,1/0-1D1C0-U6C0L0,4/13/2016 9:00:04 PM,
0022.10e4.2e7e,192.168.26.30,100.65.111.41,f4f2.6d5b.536d,37.1,55.2,+2.7,199,online,11/0-11D0C0-U1C0L0,4/13/2016 9:00:04 PM,
0050.bfbb.b2f9,192.168.13.177,100.65.114.59,f4f2.6df0.e65b,36.6,55.2,+9.4,227,online,11/0-11D0C0-U2C0L0,4/13/2016 9:00:04 PM,
001a.ad97.1f44,192.168.21.58,100.65.111.237,a0f3.c1b2.3cad,37.7,49.0,+2.8,227,online,11/0-11D0C0-U2C0L0,4/13/2016 9:00:04 PM,
0019.5e1f.b8e8,192.168.16.69,100.65.110.207,90fb.a68b.daca,36.5,34.9,-1.1,231,online,11/0-11D0C0-U3C0L0,4/13/2016 9:00:04 PM,
0021.43cf.b686,192.168.33.218,100.65.101.106,f4f2.6d5a.f941,36.8,55.2,+2.7,218,online,11/0-11D0C0-U7C0L0,4/13/2016 9:00:04 PM,
0023.74fa.24c0,192.168.18.119,100.65.99.175,c8d7.19ec.bb5e,38.5,55.2,+9.9,226,online,11/0-11D1C0-U0C0L0,4/13/2016 9:00:04 PM,
0013.7169.638c,192.168.31.197,100.65.104.32,c83a.3551.4680,37.6,46.0,+12.1,182,online,11/0-11D1C0-U0C0L0,4/13/2016 9:00:04 PM,
0023.74fb.14de,192.168.37.97,101.99.38.119,30b5.c2a7.6089,38.6,55.2,+8.3,224,online,11/0-11D1C0-U2C0L0,4/13/2016 9:00:04 PM,
0023.edd2.7896,192.168.17.225,100.65.113.174,bc5f.f45f.5323,39.0,55.2,+2.2,205,online,11/0-11D1C0-U2C0L0,4/13/2016 9:00:04 PM,
0023.ed18.04aa,192.168.14.21,100.65.97.204,000f.fee7.c8e9,35.9,55.2,-6.6,231,online,11/0-11D1C0-U3C0L0,4/13/2016 9:00:04 PM,
a47a.a46f.b5e5,192.168.24.96,100.65.108.7,c4e9.8466.e3db,0.0,0.0,+0.0,231,online,11/0-11D1C0-U3C0L0,4/13/2016 9:00:04 PM,
0023.ed18.3a68,192.168.30.224,100.65.103.139,f4f2.6d5b.2d45,34.8,55.2,-1.4,201,online,11/0-13D3C0-U1C0L0,4/13/2016 9:00:04 PM,
e483.9977.67c4,192.168.29.210,100.65.100.86,7828.090e.d3fa,42.1,55.2,+8.0,233,online,11/0-13D3C1-U1C0L0,4/13/2016 9:00:04 PM,
0023.edda.26a4,192.168.14.45,,,37.3,45.0,-4.7,229,online,11/0-13D3C1-U1C0L0,4/13/2016 9:00:04 PM,
001a.ad99.9100,192.168.26.240,100.65.97.195,30b5.c2ce.1a73,34.6,55.2,-9.4,229,online,11/0-13D3C1-U1C0L0,4/13/2016 9:00:04 PM,
001a.ad95.fcb6,192.168.18.233,100.65.106.117,c4e9.848e.4ea9,37.5,48.0,-2.1,215,online,11/0-13D3C1-U1C0L0,4/13/2016 9:00:04 PM,
001b.ddba.ef4c,192.168.27.169,100.65.109.181,c83a.3533.eec0,39.8,41.9,+12.7,199,online,11/0-13D3C1-U2C0L0,4/13/2016 9:00:04 PM,
001a.ad9b.51e6,192.168.26.110,100.65.104.200,30b5.c2cd.f116,36.1,44.0,-2.9,229,online,11/0-13D3C1-U3C0L0,4/13/2016 9:00:04 PM,
0023.ed18.3150,192.168.29.100,100.65.113.243,c4e9.848e.9a83,35.8,53.0,-6.1,222,online,11/0-13D3C1-U3C0L0,4/13/2016 9:00:04 PM,
0023.74fb.1b3e,192.168.18.85,100.65.102.80,c83a.3502.aba0,37.5,35.9,+2.2,232,online,11/0-13D3C2-U0C0L0,4/13/2016 9:00:04 PM,
